hits,quarter,term,year
338,1,orchestra,1996
302,2,orchestra,1996
285,3,orchestra,1996
336,4,orchestra,1996
337,1,orchestra,1997
283,2,orchestra,1997
318,3,orchestra,1997
443,4,orchestra,1997
423,1,orchestra,1998
422,2,orchestra,1998
379,3,orchestra,1998
444,4,orchestra,1998
451,1,orchestra,1999
436,2,orchestra,1999
375,3,orchestra,1999
468,4,orchestra,1999
452,1,orchestra,2000
441,2,orchestra,2000
385,3,orchestra,2000
448,4,orchestra,2000
455,1,orchestra,2001
442,2,orchestra,2001
404,3,orchestra,2001
469,4,orchestra,2001
450,1,orchestra,2002
443,2,orchestra,2002
366,3,orchestra,2002
417,4,orchestra,2002
467,1,orchestra,2003
432,2,orchestra,2003
347,3,orchestra,2003
387,4,orchestra,2003
415,1,orchestra,2004
423,2,orchestra,2004
328,3,orchestra,2004
403,4,orchestra,2004
427,1,orchestra,2005
465,2,orchestra,2005
364,3,orchestra,2005
422,4,orchestra,2005
486,1,orchestra,2006
589,2,orchestra,2006
658,3,orchestra,2006
778,4,orchestra,2006
380,1,orchestra,2007
417,2,orchestra,2007
357,3,orchestra,2007
449,4,orchestra,2007
439,1,orchestra,2008
454,2,orchestra,2008
352,3,orchestra,2008
447,4,orchestra,2008
421,1,orchestra,2009
445,2,orchestra,2009
429,3,orchestra,2009
412,4,orchestra,2009
402,1,orchestra,2010
389,2,orchestra,2010
357,3,orchestra,2010
408,4,orchestra,2010
379,1,orchestra,2011
389,2,orchestra,2011
327,3,orchestra,2011
381,4,orchestra,2011
367,1,orchestra,2012
338,2,orchestra,2012
282,3,orchestra,2012
341,4,orchestra,2012
352,1,orchestra,2013
355,2,orchestra,2013
316,3,orchestra,2013
372,4,orchestra,2013
400,1,orchestra,2014
381,2,orchestra,2014
360,3,orchestra,2014
334,4,orchestra,2014
372,1,orchestra,2015
344,2,orchestra,2015
324,3,orchestra,2015
379,4,orchestra,2015
322,1,orchestra,2016
314,2,orchestra,2016
214,3,orchestra,2016
250,4,orchestra,2016
198,1,orchestra,2017
211,2,orchestra,2017
179,3,orchestra,2017
198,4,orchestra,2017
206,1,orchestra,2018
202,2,orchestra,2018
193,3,orchestra,2018
197,4,orchestra,2018
175,1,orchestra,2019
180,2,orchestra,2019
180,3,orchestra,2019
186,4,orchestra,2019
