hits,quarter,term,year
121,3,equalist,1986
108,4,equalist,1986
98,1,equalist,1987
112,2,equalist,1987
106,3,equalist,1987
94,4,equalist,1987
109,1,equalist,1988
123,2,equalist,1988
107,3,equalist,1988
105,4,equalist,1988
118,1,equalist,1989
100,2,equalist,1989
105,3,equalist,1989
108,4,equalist,1989
87,1,equalist,1990
155,2,equalist,1990
106,3,equalist,1990
108,4,equalist,1990
103,1,equalist,1991
105,2,equalist,1991
96,3,equalist,1991
111,4,equalist,1991
96,1,equalist,1992
114,2,equalist,1992
111,3,equalist,1992
99,4,equalist,1992
118,1,equalist,1993
135,2,equalist,1993
123,3,equalist,1993
120,4,equalist,1993
107,1,equalist,1994
154,2,equalist,1994
130,3,equalist,1994
104,4,equalist,1994
93,1,equalist,1995
103,2,equalist,1995
116,3,equalist,1995
133,4,equalist,1995
114,1,equalist,1996
144,2,equalist,1996
113,3,equalist,1996
101,4,equalist,1996
100,1,equalist,1997
121,2,equalist,1997
81,3,equalist,1997
114,4,equalist,1997
118,1,equalist,1998
119,2,equalist,1998
113,3,equalist,1998
101,4,equalist,1998
123,1,equalist,1999
108,2,equalist,1999
129,3,equalist,1999
122,4,equalist,1999
121,1,equalist,2000
151,2,equalist,2000
150,3,equalist,2000
140,4,equalist,2000
138,1,equalist,2001
115,2,equalist,2001
109,3,equalist,2001
138,4,equalist,2001
114,1,equalist,2002
148,2,equalist,2002
93,3,equalist,2002
166,4,equalist,2002
140,1,equalist,2003
151,2,equalist,2003
133,3,equalist,2003
151,4,equalist,2003
165,1,equalist,2004
123,2,equalist,2004
138,3,equalist,2004
139,4,equalist,2004
156,1,equalist,2005
140,2,equalist,2005
164,3,equalist,2005
188,4,equalist,2005
211,1,equalist,2006
359,2,equalist,2006
324,3,equalist,2006
329,4,equalist,2006
193,1,equalist,2007
213,2,equalist,2007
204,3,equalist,2007
225,4,equalist,2007
248,1,equalist,2008
279,2,equalist,2008
223,3,equalist,2008
265,4,equalist,2008
256,1,equalist,2009
255,2,equalist,2009
192,3,equalist,2009
216,4,equalist,2009
191,1,equalist,2010
190,2,equalist,2010
193,3,equalist,2010
175,4,equalist,2010
184,1,equalist,2011
236,2,equalist,2011
181,3,equalist,2011
208,4,equalist,2011
227,1,equalist,2012
286,2,equalist,2012
203,3,equalist,2012
253,4,equalist,2012
280,1,equalist,2013
278,2,equalist,2013
235,3,equalist,2013
227,4,equalist,2013
260,1,equalist,2014
281,2,equalist,2014
206,3,equalist,2014
236,4,equalist,2014
233,1,equalist,2015
287,2,equalist,2015
264,3,equalist,2015
213,4,equalist,2015
195,1,equalist,2016
242,2,equalist,2016
215,3,equalist,2016
241,4,equalist,2016
248,1,equalist,2017
208,2,equalist,2017
253,3,equalist,2017
262,4,equalist,2017
273,1,equalist,2018
348,2,equalist,2018
300,3,equalist,2018
231,4,equalist,2018
303,1,equalist,2019
283,2,equalist,2019
238,3,equalist,2019
240,4,equalist,2019
