hits,quarter,term,year
3,4,body.search:women's lib*,1966
2,1,body.search:women's lib*,1967
0,2,body.search:women's lib*,1967
2,3,body.search:women's lib*,1967
3,4,body.search:women's lib*,1967
5,1,body.search:women's lib*,1968
5,2,body.search:women's lib*,1968
4,3,body.search:women's lib*,1968
4,4,body.search:women's lib*,1968
9,1,body.search:women's lib*,1969
8,2,body.search:women's lib*,1969
7,3,body.search:women's lib*,1969
8,4,body.search:women's lib*,1969
2119,1,body.search:women's lib*,1970
2063,2,body.search:women's lib*,1970
2017,3,body.search:women's lib*,1970
2490,4,body.search:women's lib*,1970
1937,1,body.search:women's lib*,1971
1937,2,body.search:women's lib*,1971
1795,3,body.search:women's lib*,1971
2104,4,body.search:women's lib*,1971
1987,1,body.search:women's lib*,1972
1949,2,body.search:women's lib*,1972
1796,3,body.search:women's lib*,1972
2236,4,body.search:women's lib*,1972
2354,1,body.search:women's lib*,1973
2152,2,body.search:women's lib*,1973
2083,3,body.search:women's lib*,1973
2310,4,body.search:women's lib*,1973
2248,1,body.search:women's lib*,1974
2238,2,body.search:women's lib*,1974
1991,3,body.search:women's lib*,1974
2381,4,body.search:women's lib*,1974
2080,1,body.search:women's lib*,1975
2215,2,body.search:women's lib*,1975
2094,3,body.search:women's lib*,1975
2805,4,body.search:women's lib*,1975
2249,1,body.search:women's lib*,1976
2720,2,body.search:women's lib*,1976
2397,3,body.search:women's lib*,1976
2317,4,body.search:women's lib*,1976
2177,1,body.search:women's lib*,1977
2408,2,body.search:women's lib*,1977
2470,3,body.search:women's lib*,1977
2698,4,body.search:women's lib*,1977
2341,1,body.search:women's lib*,1978
2388,2,body.search:women's lib*,1978
960,3,body.search:women's lib*,1978
1395,4,body.search:women's lib*,1978
2082,1,body.search:women's lib*,1979
2383,2,body.search:women's lib*,1979
2231,3,body.search:women's lib*,1979
2380,4,body.search:women's lib*,1979
3,1,body.search:women's lib*,1980
6,2,body.search:women's lib*,1980
3,3,body.search:women's lib*,1980
5,4,body.search:women's lib*,1980
1943,1,body.search:women's lib*,1981
2086,2,body.search:women's lib*,1981
2093,3,body.search:women's lib*,1981
2598,4,body.search:women's lib*,1981
2111,1,body.search:women's lib*,1982
2275,2,body.search:women's lib*,1982
2336,3,body.search:women's lib*,1982
2158,4,body.search:women's lib*,1982
1837,1,body.search:women's lib*,1983
2029,2,body.search:women's lib*,1983
1990,3,body.search:women's lib*,1983
2050,4,body.search:women's lib*,1983
2034,1,body.search:women's lib*,1984
2058,2,body.search:women's lib*,1984
2162,3,body.search:women's lib*,1984
2404,4,body.search:women's lib*,1984
2026,1,body.search:women's lib*,1985
2093,2,body.search:women's lib*,1985
1920,3,body.search:women's lib*,1985
2415,4,body.search:women's lib*,1985
2244,1,body.search:women's lib*,1986
2910,2,body.search:women's lib*,1986
2501,3,body.search:women's lib*,1986
2313,4,body.search:women's lib*,1986
2132,1,body.search:women's lib*,1987
2058,2,body.search:women's lib*,1987
2001,3,body.search:women's lib*,1987
2296,4,body.search:women's lib*,1987
2039,1,body.search:women's lib*,1988
2123,2,body.search:women's lib*,1988
2033,3,body.search:women's lib*,1988
2463,4,body.search:women's lib*,1988
2079,1,body.search:women's lib*,1989
2176,2,body.search:women's lib*,1989
1969,3,body.search:women's lib*,1989
2282,4,body.search:women's lib*,1989
1994,1,body.search:women's lib*,1990
2030,2,body.search:women's lib*,1990
1983,3,body.search:women's lib*,1990
2138,4,body.search:women's lib*,1990
1866,1,body.search:women's lib*,1991
1806,2,body.search:women's lib*,1991
1864,3,body.search:women's lib*,1991
1955,4,body.search:women's lib*,1991
1923,1,body.search:women's lib*,1992
1910,2,body.search:women's lib*,1992
1786,3,body.search:women's lib*,1992
1879,4,body.search:women's lib*,1992
1736,1,body.search:women's lib*,1993
1955,2,body.search:women's lib*,1993
2044,3,body.search:women's lib*,1993
2239,4,body.search:women's lib*,1993
1743,1,body.search:women's lib*,1994
2016,2,body.search:women's lib*,1994
1683,3,body.search:women's lib*,1994
1880,4,body.search:women's lib*,1994
1765,1,body.search:women's lib*,1995
1870,2,body.search:women's lib*,1995
1692,3,body.search:women's lib*,1995
2065,4,body.search:women's lib*,1995
1877,1,body.search:women's lib*,1996
2012,2,body.search:women's lib*,1996
1869,3,body.search:women's lib*,1996
1906,4,body.search:women's lib*,1996
1715,1,body.search:women's lib*,1997
1850,2,body.search:women's lib*,1997
1690,3,body.search:women's lib*,1997
1972,4,body.search:women's lib*,1997
1990,1,body.search:women's lib*,1998
2019,2,body.search:women's lib*,1998
1997,3,body.search:women's lib*,1998
2253,4,body.search:women's lib*,1998
2055,1,body.search:women's lib*,1999
2407,2,body.search:women's lib*,1999
1990,3,body.search:women's lib*,1999
2114,4,body.search:women's lib*,1999
2240,1,body.search:women's lib*,2000
2342,2,body.search:women's lib*,2000
2328,3,body.search:women's lib*,2000
2277,4,body.search:women's lib*,2000
2428,1,body.search:women's lib*,2001
2447,2,body.search:women's lib*,2001
2511,3,body.search:women's lib*,2001
2632,4,body.search:women's lib*,2001
2234,1,body.search:women's lib*,2002
2517,2,body.search:women's lib*,2002
2222,3,body.search:women's lib*,2002
2426,4,body.search:women's lib*,2002
2572,1,body.search:women's lib*,2003
2695,2,body.search:women's lib*,2003
2495,3,body.search:women's lib*,2003
2584,4,body.search:women's lib*,2003
2675,1,body.search:women's lib*,2004
2655,2,body.search:women's lib*,2004
2808,3,body.search:women's lib*,2004
2831,4,body.search:women's lib*,2004
2775,1,body.search:women's lib*,2005
2914,2,body.search:women's lib*,2005
2779,3,body.search:women's lib*,2005
3224,4,body.search:women's lib*,2005
3247,1,body.search:women's lib*,2006
4453,2,body.search:women's lib*,2006
4810,3,body.search:women's lib*,2006
4978,4,body.search:women's lib*,2006
3094,1,body.search:women's lib*,2007
2938,2,body.search:women's lib*,2007
3242,3,body.search:women's lib*,2007
3104,4,body.search:women's lib*,2007
3103,1,body.search:women's lib*,2008
3316,2,body.search:women's lib*,2008
3423,3,body.search:women's lib*,2008
3676,4,body.search:women's lib*,2008
3185,1,body.search:women's lib*,2009
2983,2,body.search:women's lib*,2009
3246,3,body.search:women's lib*,2009
2728,4,body.search:women's lib*,2009
2197,1,body.search:women's lib*,2010
2405,2,body.search:women's lib*,2010
2097,3,body.search:women's lib*,2010
2367,4,body.search:women's lib*,2010
2914,1,body.search:women's lib*,2011
2891,2,body.search:women's lib*,2011
2617,3,body.search:women's lib*,2011
2749,4,body.search:women's lib*,2011
2567,1,body.search:women's lib*,2012
